,상품명,스팩,가격
0,샤오미 차량용 청소기 무선 3세대 (해외구매),"차량용청소기 / 무선 / 흡입력: 16,800Pa / 최대출력: 120W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 25분 / 크기 : 369x72mm / 무게 : 560g","53,320원"
1,샤오미 드리미 V10,"핸디/스틱청소기 / 핸디+스틱형 / 무선형 / 전압: 25.2V / 헤파필터 / H12급 / 5단계여과 / 흡입력: 140AW / 흡입력: 22000Pa / 먼지통용량: 0.5L / 충전시간: 3시간30분 / 사용시간: 1시간 / 용량: 2500mAh / 브러쉬: 바닥, 솔형, 틈새, 침구, 연장관 / 거치대 / 무게: 1.5kg / 색상:화이트 / 소비전력: 450W","151,490원"
2,LG전자 코드제로 A9S A9700,"핸디/스틱청소기 / 핸디+스틱형 / 무선형 / 헤파필터 / 2중터보싸이클론 / 5단계여과 / 인버터모터 / 흡입력: 200W / 충전시간: 4시간 / 사용시간: 2시간 / 배터리: 리튬이온 (2개) / 브러쉬: 바닥, 솔형, 틈새, 침구, 매트리스, 물걸레, 연장관 / 거치대 / 디스플레이표시창 / 배터리잔량표시 / WiFi / 색상:판타지실버 / 소비전력: 590W / 미세먼지인증(SLG) / 3단계물분사조절 / 크기(가로x세로x깊이): 250x1120x260mm","974,310원"
3,다이슨 V8 플러피,"핸디/스틱청소기 / 핸디+스틱형 / 무선형 / 전압: 21.6V / 싸이클론 / 흡입력: 155AW / 충전시간: 5시간 / 사용시간: 40분 / 배터리: 리튬이온 / 도킹스테이션 / 무게: 2.58kg / 브러쉬: 소프트롤러클리너헤드, 미니모터, 소프트더스팅, 콤비네이션툴, 크레비스툴, 매트리스툴, 연장호스 / 크기(가로x세로x깊이): 250x1264x224mm","444,340원"
4,다이슨 디지털 슬림 플러피+,"핸디/스틱청소기 / 핸디+스틱형 / 무선형 / 싸이클론 / 5단계여과 / 흡입력: 100AW / 먼지통용량: 0.3L / 충전시간: 3시간30분 / 사용시간: 40분 / 거치대 / 도킹스테이션 / 디스플레이표시창 / 무게: 1.9kg / 색상:오렌지 / 브러쉬: 슬림소프트롤러클리너헤드, 콤비네이션툴, 라이트파이프크레비스툴, 미니모터툴, 스터번더트브러쉬, 매트리스툴, 연장호스 / 크기(가로x세로x깊이): 250x1100x250mm","708,910원"
5,일렉트로룩스 ZB3302AK,"핸디/스틱청소기 / 핸디+스틱형 / 무선형 / 전압: 14.4V / 4단계여과 / 충전시간: 4시간 / 사용시간: 42분 / 배터리: 리튬이온 / LED라이트 / 배터리잔량표시 / 브러쉬자동청소 / 셀프스탠딩 / 무게: 3.22kg / 알레르기인증(BAF) / 브러쉬: 바닥, 미니침구, 소파용, 긴틈새, 2in1 / 크기(가로x세로x깊이): 303x690x162mm","148,230원"
6,AIPINYUE 차량용 가정용 무선 청소기 (해외구매),"차량용청소기 / 유무선 / 흡입력: 6,000Pa / 최대출력: 120W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 코드길이: 3m / 색상: 블랙, 화이트 / 크기: 37x6.5cm","12,870원"
7,LG전자 코드제로 A9S A9470,"핸디/스틱청소기 / 핸디+스틱형 / 무선형 / 헤파필터 / 2중터보싸이클론 / 5단계여과 / 인버터모터 / 충전시간: 4시간 / 사용시간: 2시간 / 배터리: 리튬이온 (2개) / 브러쉬: 바닥, 솔형, 틈새, 물걸레 / 거치대 / 디스플레이표시창 / 배터리잔량표시 / WiFi / 색상:아이언그레이 / 소비전력: 590W / 미세먼지인증(SLG) / 크기(가로x세로x깊이): 250x1120x260mm","871,140원"
8,삼성전자 제트 VS20T9222K2CS,"핸디/스틱청소기 / 핸디+스틱형 / 무선형 / 전압: 21.9V / 헤파필터 / 싸이클론 / 5단계여과 / 인버터모터 / 흡입력: 200W / 먼지통용량: 0.5L / 충전시간: 3시간30분 / 사용시간: 1시간 / 배터리: 리튬이온 / 브러쉬: 바닥, 솔형, 틈새, 펫, 물걸레, 연장관 / 거치대 / 디스플레이표시창 / 프리볼트 / 무게: 2.73kg / 색상:티탄모노크롬 / 소비전력: 550W / 알레르기인증(BAF) / 미세먼지인증(SLG) / 크기(가로x세로x깊이): 250x1136x215mm / [VCA-SAE90A] 청정스테이션 / 색상: 블랙 / 크기(가로x세로x깊이): 185x600x180mm","840,440원"
9,델로라 V11 파워 300W,"핸디/스틱청소기 / 핸디+스틱형 / 무선형 / 전압: 29.6V / 헤파필터 / 싸이클론 / 4단계여과 / BLDC모터 / 흡입력: 22000Pa / 먼지통용량: 0.6L / 충전시간: 5시간 / 사용시간: 1시간10분 / 배터리: 리튬이온 / 용량: 2500mAh / 브러쉬: 바닥, 솔형, 틈새, 침구, 연장관 / LED라이트 / 거치대 / 무게: 3.89kg / 색상:레드, 블랙 / 소비전력: 300W / 크기(가로x세로x깊이): 239x1255x105mm","129,000원"
