기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2013	서울시	합계	785,094	260,341	4,585,090	2,606,372	1,978,718	618,048	1,491,905	129,607	2,351,002	16,039	631,132	21,400	111,051	736,700	2,947,155	14,597	963,804	33,797	674,131
2013	서울시	농업 임업 및 어업	18	3	276	231	45	-	-	13	94	5	182	-	-	11	43	5	218	2	15
2013	서울시	광업	22	1	595	429	166	1	2	20	66	1	527	-	-	17	50	5	545	-	-
2013	서울시	제조업	58,551	11,983	272,972	160,242	112,730	49,905	149,495	8,539	121,788	78	1,249	29	440	56,730	218,172	1,121	42,295	700	12,505
2013	서울시	전기 가스 증기 및 수도사업	122	3	10,148	8,529	1,619	8	13	57	4,043	56	6,087	1	5	57	2,109	22	5,353	43	2,686
2013	서울시	하수폐기물처리 원료재생 및 환경복원업	448	48	6,536	5,679	857	70	222	305	5,747	73	567	-	-	398	5,497	21	656	29	383
2013	서울시	건설업	21,027	2,449	286,131	245,786	40,345	10,764	23,434	10,241	261,810	16	866	6	21	19,724	171,742	732	90,170	571	24,219
2013	서울시	도매 및 소매업	226,629	82,337	826,015	472,990	353,025	179,569	369,554	46,425	451,089	511	4,735	124	637	211,336	562,976	4,605	140,741	10,688	122,298
2013	서울시	운수업	93,368	3,719	256,611	217,186	39,425	88,028	97,981	4,658	143,809	627	14,526	55	295	91,548	173,252	711	55,640	1,109	27,719
2013	서울시	숙박 및 음식점업	123,634	70,668	443,079	178,336	264,743	116,989	345,766	6,411	94,756	156	2,195	78	362	118,710	367,739	455	13,589	4,469	61,751
